Time,time,V(inn),V(inp),V(n001),V(n002),V(n2v5),V(nc_01),V(nc_02),V(outa),V(outb),V(p2v5),V(sd),V(signal),V(vdd),V(vee),I(Ca),I(Cb),I(Cf),I(Cload),I(Cpara),I(Cparb),I(IOUTA),I(IOUTB),I(R1),I(R2),I(R3),I(R5),I(Ra),I(Rb),I(Rf),I(Rload),I(Rpara),I(Rparb),I(V1),I(V2),I(V3),I(V4),Ix(u1:1),Ix(u1:2),Ix(u1:3),Ix(u1:4),Ix(u1:5),Ix(u1:6),Ix(u2:1),Ix(u2:2),Ix(u2:3),Ix(u2:4),Ix(u2:5),Ix(u2:6),Ix(u3:1),Ix(u3:2),Ix(u3:3),Ix(u3:4),Ix(u3:5),Ix(u3:6)
0.0,0.0,6.614548e-06,6.615234e-06,-0.4982944,-0.4982944,-2.5,2.5,2.5,-0.5024202,-0.4990965,2.5,-15.183333,-0.57409316,18.0,-18.0,1.4552005e-28,1.4553515e-28,-1.4334601e-25,1.2630049e-22,3.307274e-29,3.307617e-29,0.002,0.002,-0.0014083333,-0.0015183333,-0.002001209,-0.002001209,-4.1257623e-05,-9.042952e-06,-5.1195006e-05,-0.026095144,4.4096986e-11,4.410156e-11,-0.032543685,-0.060098354,-0.0059521226,-0.0020000073,9.042952e-06,-9.937381e-06,0.03254368,-0.05869002,0.02614634,0.00011,-1.200189e-06,-1.2089608e-06,0.0010000037,-0.0029599539,0.0019599514,0.0,-1.200189e-06,-1.2089608e-06,0.0010000037,-0.0029921685,0.001992166,0.0
1.9999998879249858e-10,1.9999998879249858e-10,1.5175101e-05,-1.9454985e-06,-0.49829417,-0.49829465,-2.5,2.5,2.5,-0.50242025,-0.49909666,2.5,-15.183333,-0.57409316,18.0,-18.0,1.880933e-06,-1.8809753e-06,1.4290624e-09,1.1669169e-09,4.2748476e-07,-4.274944e-07,0.0020025133,0.0019974867,-0.0014083333,-0.0015183333,-0.0020012425,-0.0020011757,-4.12605e-05,-9.041793e-06,-5.119496e-05,-0.026095144,1.01167345e-10,-1.296999e-11,-0.03254368,-0.060098357,-0.0059521217,-0.0020000073,9.041793e-06,-9.93303e-06,0.03254368,-0.05869002,0.02614634,0.00011,-1.285928e-06,-1.03764e-06,0.0010000037,-0.0029599688,0.0019599819,0.0,-1.1144482e-06,-1.3802857e-06,0.0010000037,-0.0029921532,0.0019921337,0.0
3.9999997758499717e-10,3.9999997758499717e-10,4.061948e-05,-2.7391536e-05,-0.49829322,-0.4982957,-2.5,2.5,2.5,-0.50242066,-0.4990974,2.5,-15.183333,-0.57409316,18.0,-18.0,3.7121943e-06,-3.7125676e-06,7.557162e-09,5.9824687e-09,8.436805e-07,-8.4376535e-07,0.0020050264,0.0019949735,-0.0014083333,-0.0015183333,-0.0020013407,-0.0020010776,-4.12743e-05,-9.03829e-06,-5.1194656e-05,-0.026095144,2.7079655e-10,-1.8261023e-10,-0.03254368,-0.060098354,-0.005952116,-0.0020000073,9.03829e-06,-9.912802e-06,0.03254368,-0.058690015,0.026146337,0.00011,-1.369895e-06,-8.703497e-07,0.0010000037,-0.002960027,0.0019600664,0.0,-1.030466e-06,-1.5476061e-06,0.0010000037,-0.0029920891,0.0019920394,0.0
7.999999551699943e-10,7.999999551699943e-10,0.00014005044,-0.0001268531,-0.4982914,-0.4982984,-2.5,2.5,2.5,-0.5024227,-0.49910006,2.5,-15.183333,-0.57409316,18.0,-18.0,7.225212e-06,-7.228205e-06,1.2876796e-08,8.491869e-09,1.6420936e-06,-1.6427739e-06,0.002010053,0.001989947,-0.0014083333,-0.0015183333,-0.0020017328,-0.002000689,-4.131297e-05,-9.0376825e-06,-5.1193198e-05,-0.026095144,9.336696e-10,-8.4568735e-10,-0.03254368,-0.06009835,-0.0059520863,-0.0020000073,9.0376825e-06,-9.867351e-06,0.03254368,-0.05869001,0.026146334,0.00011,-1.5324185e-06,-5.479816e-07,0.0010000037,-0.0029603187,0.0019604198,0.0,-8.6782245e-07,-1.8702133e-06,0.0010000037,-0.0029917676,0.0019916513,0.0
1.5999999103399887e-09,1.5999999103399887e-09,0.0005186275,-0.0005050474,-0.49832135,-0.49825922,-2.5,2.5,2.5,-0.50239986,-0.49906725,2.5,-15.183333,-0.57409304,18.0,-18.0,1.3596529e-05,-1.357248e-05,-1.2654456e-07,-8.037637e-08,3.0901203e-06,-3.0846545e-06,0.002020106,0.0019798942,-0.0014083333,-0.0015183333,-0.0020033733,-0.0019990127,-4.078499e-05,-9.109743e-06,-5.1209438e-05,-0.026095139,3.457517e-09,-3.3669825e-09,-0.03254368,-0.060098413,-0.0059524067,-0.0020000073,9.109743e-06,-1.0550991e-05,0.03254368,-0.05869008,0.026146395,0.00011,-1.8328406e-06,4.2343796e-08,0.0010000037,-0.0029622195,0.0019625884,0.0,-5.6864064e-07,-2.4580681e-06,0.0010000037,-0.0029901871,0.001989903,0.0
2.758266383843684e-09,2.758266383843684e-09,0.0014329051,-0.0014083362,-0.49854857,-0.49789968,-2.5,2.5,2.5,-0.5021406,-0.49873415,2.5,-15.183333,-0.57409275,18.0,-18.0,2.1134865e-05,-2.0741481e-05,-7.677354e-07,-3.763696e-08,4.8033785e-06,-4.713973e-06,0.0020346597,0.0019653402,-0.0014083333,-0.0015183333,-0.0020079578,-0.0019939411,-3.5920137e-05,-9.407739e-06,-5.1394403e-05,-0.026095126,9.5527e-09,-9.388908e-09,-0.03254368,-0.060099266,-0.005956039,-0.0020000073,9.407739e-06,-1.6242002e-05,0.03254368,-0.058690928,0.02614725,0.00011,-2.2016147e-06,7.541326e-07,0.0010000037,-0.0029709109,0.0019720376,0.0,-2.1696833e-07,-3.1359502e-06,0.0010000037,-0.002985128,0.0019845334,0.0
4.2751617381927426e-09,4.2751617381927426e-09,0.003120378,-0.003012488,-0.49939948,-0.49642965,-2.5,2.5,2.5,-0.5010002,-0.49732324,2.5,-15.183333,-0.5740632,18.0,-18.0,2.7813008e-05,-2.5789526e-05,-2.1613841e-06,-8.53596e-06,6.3211382e-06,-5.861256e-06,0.002053717,0.0019462832,-0.0014083333,-0.0015183333,-0.002018152,-0.001981595,-1.6007487e-05,-1.0074414e-05,-5.2187825e-05,-0.026093781,2.0802519e-08,-2.0083252e-08,-0.03254368,-0.060091607,-0.005972091,-0.0020000073,1.0074414e-05,-3.8341725e-05,0.03254368,-0.058683272,0.026139595,0.00011,-2.5533805e-06,1.4097916e-06,0.0010000037,-0.0029995062,0.0020021445,0.0,5.832174e-08,-3.6409622e-06,0.0010000037,-0.002972585,0.0019715207,0.0
6.042312380979297e-09,6.042312380979297e-09,0.005479587,-0.0050531784,-0.50152344,-0.49270958,-2.5,2.5,2.5,-0.49801183,-0.49369377,2.5,-15.183333,-0.5734543,18.0,-18.0,3.092855e-05,-2.50213e-05,-3.2247563e-06,-0.00014306376,7.029216e-06,-5.686659e-06,0.0020759117,0.0019240883,-0.0014083333,-0.0015183333,-0.0020361568,-0.0019584594,3.5116092e-05,-1.1095867e-05,-5.3887492e-05,-0.026066106,3.6530576e-08,-3.3687854e-08,-0.03254368,-0.05993217,-0.0060153273,-0.0020000073,1.1095867e-05,-9.2228336e-05,0.03254368,-0.058523834,0.025980154,0.00011,-2.7624026e-06,1.7606233e-06,0.0010000037,-0.0030663512,0.0020712728,0.0,8.170854e-08,-3.62944e-06,0.0010000035,-0.0029489764,0.0019473635,0.0
8.06967610659768e-09,8.06967610659768e-09,0.0082225865,-0.0069575007,-0.5058571,-0.48543328,-2.5,2.5,2.5,-0.49201265,-0.48652458,2.5,-15.183333,-0.5685911,18.0,-18.0,2.8602944e-05,-1.630833e-05,9.834473e-07,-0.0009123993,6.5006693e-06,-3.7064385e-06,0.0021013631,0.0018986369,-0.0014083333,-0.0015183333,-0.002064577,-0.0019215895,0.00013844464,-1.2303341e-05,-5.469891e-05,-0.02584505,5.4817242e-08,-4.6383338e-08,-0.03254368,-0.058938384,-0.006106621,-0.0020000073,1.2303341e-05,-0.0001921601,0.03254368,-0.05753005,0.024986368,0.00011,-2.7350652e-06,1.6275319e-06,0.0010000037,-0.0031952343,0.0022030217,0.0,-2.599256e-07,-2.8914083e-06,0.0010000035,-0.0029113868,0.0019092861,0.0
1.0319760543317844e-08,1.0319760543317844e-08,0.010696301,-0.007822609,-0.51328975,-0.47412398,-2.5,2.5,2.5,-0.48243812,-0.4753021,2.5,-15.183333,-0.5471196,18.0,-18.0,1.97701e-05,-6.086947e-07,2.0165888e-05,-0.003286312,4.4932044e-06,-1.383397e-07,0.002129591,0.0018704089,-0.0014083333,-0.0015183333,-0.0021043615,-0.0018726963,0.00030851623,-1.3282115e-05,-4.620109e-05,-0.024869075,7.130867e-08,-5.215072e-08,-0.03254368,-0.05556081,-0.0062640007,-0.002000007,1.3282115e-05,-0.00033455144,0.03254368,-0.054152478,0.021608798,0.00011,-2.4042502e-06,8.9487764e-07,0.0010000037,-0.003402268,0.0024128777,0.0,-9.4882756e-07,-1.4881923e-06,0.0010000035,-0.0028617324,0.0018594142,0.0
1.1977240588951998e-08,1.1977240588951998e-08,0.011821237,-0.0073997895,-0.52050495,-0.46444005,-2.5,2.5,2.5,-0.47403988,-0.46564397,2.5,-15.183333,-0.5110116,18.0,-18.0,1.0092824e-05,1.1832976e-05,4.6706205e-05,-0.00629904,2.2938236e-06,2.6893129e-06,0.0021503684,0.0018496315,-0.0014083333,-0.0015183333,-0.002137856,-0.0018355031,0.00046465054,-1.3572907e-05,-2.6408385e-05,-0.023227802,7.880825e-08,-4.933193e-08,-0.032543685,-0.050860476,-0.0064145704,-0.002000007,1.3572907e-05,-0.0004443527,0.03254368,-0.049452145,0.016908463,0.00011,-1.9965155e-06,4.685188e-08,0.0010000037,-0.0035904183,0.0026025067,0.0,-1.5264386e-06,-3.4447575e-07,0.0010000035,-0.002824152,0.0018219302,0.0
1.3865972730762554e-08,1.3865972730762554e-08,0.0121416915,-0.005901867,-0.53024733,-0.45335257,-2.5,2.5,2.5,-0.4641821,-0.45453864,2.5,-15.183333,-0.43761632,18.0,-18.0,-2.6275015e-06,2.3062707e-05,8.7855056e-05,-0.0107991705,-5.9715944e-07,5.2415244e-06,0.0021740247,0.0018259754,-0.0014083333,-0.0015183333,-0.0021782692,-0.0017969907,0.0006606525,-1.3371684e-05,1.8975576e-05,-0.01989165,8.094461e-08,-3.934578e-08,-0.032543685,-0.042937666,-0.0066115586,-0.002000007,1.3371684e-05,-0.00055382185,0.03254368,-0.04152933,0.008985649,0.00011,-1.4274749e-06,-1.1009563e-06,0.0010000037,-0.0038260627,0.0028389217,0.0,-2.079679e-06,7.1975086e-07,0.0010000035,-0.002785496,0.001783619,0.0
1.568507884333094e-08,1.568507884333094e-08,0.011413431,-0.0037736306,-0.5407065,-0.4437815,-2.5,2.5,2.5,-0.45540532,-0.4449084,2.5,-15.183333,-0.3283632,18.0,-18.0,-1.4987452e-05,2.8414444e-05,0.0001330805,-0.015626643,-3.406239e-06,6.4578285e-06,0.0021967855,0.0018032144,-0.0014083333,-0.0015183333,-0.0022173491,-0.0017671,0.0008530119,-1.2704501e-05,9.074436e-05,-0.014925601,7.608954e-08,-2.5157538e-08,-0.033468552,-0.03395202,-0.0068135425,-0.002000007,1.2704501e-05,-0.00062918704,0.03346855,-0.03254368,-0.0009248671,0.00011,-8.448515e-07,-2.2459737e-06,0.0010000037,-0.0040577524,0.003070361,0.0,-2.3837472e-06,1.2673705e-06,0.0010000035,-0.0027557898,0.0017543954,0.0
