Time,V(inn),V(inp),V(n001),V(n002),V(n2v5),V(nc_01),V(nc_02),V(outa),V(outb),V(p2v5),V(sd),V(signal),V(vdd),V(vee),I(BIOUTA),I(BIOUTB),I(Ca),I(Cb),I(Cf),I(Cload),I(Cpara),I(Cparb),I(R1),I(R2),I(R3),I(R5),I(Ra),I(Rb),I(Rf),I(Rload),I(Rpara),I(Rparb),I(V1),I(V2),I(V3),I(V4),Ix(xu1:1),Ix(xu1:2),Ix(xu1:3),Ix(xu1:4),Ix(xu1:5),Ix(xu1:6),Ix(xu2:1),Ix(xu2:2),Ix(xu2:3),Ix(xu2:4),Ix(xu2:5),Ix(xu2:6),Ix(xu3:1),Ix(xu3:2),Ix(xu3:3),Ix(xu3:4),Ix(xu3:5),Ix(xu3:6)
0.0,0.006552932,-0.0043310425,-0.49173158,-0.5026402,-2.5,2.5,2.5,-0.5169815,-0.5044651,2.5,-15.183333,-3.3476214,18.0,-18.0,0.0020000013,0.0019999987,-1.2386477e-07,9.029472e-08,0.00037324376,-0.03274989,-2.8151085e-08,2.0521528e-08,-0.0014083333,-0.0015183333,-0.0020011426,-0.0020012415,-0.00016833277,-1.3035252e-05,-0.0013479238,-0.15216461,4.3686214e-08,-2.8873616e-08,-0.03254369,-0.15434141,-0.005813929,-0.0020000073,1.3035252e-05,-0.00080634723,0.032543685,-0.15293308,0.1203894,0.00011,-1.3815963e-06,-1.0330439e-06,0.0010000035,-0.002823582,0.0018328099,0.0,-1.0803603e-06,-1.3247776e-06,0.0010000037,-0.0029903469,0.0019882063,0.0
4.558823574998735e-09,0.006519512,-0.004307194,-0.5160302,-0.47835955,-2.5,2.5,2.5,-0.49277696,-0.48018578,2.5,-15.183333,-2.6659796,18.0,-18.0,0.002097352,0.0019026479,-1.9859287e-07,1.3979476e-07,0.00037651285,-0.033026733,-4.513474e-08,3.177154e-08,-0.0014083333,-0.0015183333,-0.0020985932,-0.0019038247,0.00015502152,-1.3044563e-05,-0.0010348584,-0.121180885,4.3463412e-08,-2.8714627e-08,-0.03254369,-0.12276452,-0.006137308,-0.0020000073,1.3044563e-05,-0.000813367,0.032543685,-0.12135618,0.0888125,0.00011,-1.3772449e-06,-1.0407963e-06,0.0010000037,-0.00324439,0.0022536146,0.0,-1.0832916e-06,-1.3195935e-06,0.0010000035,-0.0028929182,0.0018907802,0.0
9.11764714999747e-09,0.0064706597,-0.004273132,-0.5402867,-0.45412612,-2.5,2.5,2.5,-0.46859634,-0.45595235,2.5,-15.183333,-1.979411,18.0,-18.0,0.0021944724,0.0018055277,-2.7282658e-07,1.8890438e-07,0.0003788894,-0.033225283,-6.2006045e-08,4.2932815e-08,-0.0014083333,-0.0015183333,-0.002195813,-0.0018066386,0.00047793603,-1.3044392e-05,-0.0007194356,-0.089973226,4.313773e-08,-2.8487547e-08,-0.03254369,-0.09104051,-0.006460274,-0.0020000073,1.3044392e-05,-0.0008184822,0.032543685,-0.08963217,0.05708849,0.00011,-1.3724748e-06,-1.048945e-06,0.0010000037,-0.0036645494,0.0026737489,0.0,-1.0864972e-06,-1.3141528e-06,0.0010000035,-0.0027957244,0.0017935942,0.0
1.676470604999535e-08,0.0063543827,-0.004193274,-0.5807226,-0.4137407,-2.5,2.5,2.5,-0.42824683,-0.41556388,2.5,-15.183333,-0.82116973,18.0,-18.0,0.002356232,0.0016437682,-3.9585092e-07,2.7036492e-07,0.00038085686,-0.033381302,-8.9966115e-08,6.144657e-08,-0.0014083333,-0.0015183333,-0.0023577388,-0.0016447688,0.0010165048,-1.3022821e-05,-0.00018710614,-0.037325896,4.236255e-08,-2.7955158e-08,-0.032543685,-0.037702862,-0.0069989874,-0.0020000073,1.3022821e-05,-0.0008227541,0.03254368,-0.036294524,0.0037508432,0.00011,-1.3635606e-06,-1.0634594e-06,0.0010000037,-0.0043651354,0.0033742436,0.0,-1.0924815e-06,-1.30446e-06,0.0010000035,-0.0026338522,0.001631746,0.0
1.7352941349995186e-08,0.0063436734,-0.004185962,-0.58381367,-0.41065407,-2.5,2.5,2.5,-0.42516023,-0.41247687,2.5,-15.183333,-0.7319112,18.0,-18.0,0.00236859,0.0016314099,-4.0521695e-07,2.7656893e-07,0.00038090307,-0.03338409,-9.2094766e-08,6.285658e-08,-0.0014083333,-0.0015183333,-0.0023701098,-0.0016324021,0.0010576895,-1.3020059e-05,-0.00014607188,-0.03326869,4.2291155e-08,-2.7906413e-08,-0.032893915,-0.03395202,-0.0070401863,-0.0020000073,1.3020059e-05,-0.00082285836,0.032893915,-0.03254368,-0.00035023002,0.00011,-1.3628289e-06,-1.0646175e-06,0.0010000037,-0.0044187005,0.0034277993,0.0,-1.0929724e-06,-1.3036868e-06,0.0010000035,-0.0026214859,0.001619382,0.0
2.1764706099993962e-08,0.006255407,-0.004125861,-0.6068809,-0.38762298,-2.5,2.5,2.5,-0.40211686,-0.3894422,2.5,-15.183333,-0.06253416,18.0,-18.0,0.00246078,0.00153922,-4.74934e-07,3.227165e-07,0.0003807704,-0.033362977,-1.0793955e-07,7.334466e-08,-0.0014083333,-0.0015183333,-0.0024623948,-0.0015401491,0.0013650934,-1.29943455e-05,0.00016170605,-0.0028424617,4.1702712e-08,-2.7505742e-08,-0.06360668,-0.03395202,-0.00734771,-0.0020000073,1.29943455e-05,-0.000822617,0.06360667,-0.03254368,-0.031062992,0.00011,-1.357138e-06,-1.0734825e-06,0.0010000037,-0.0048184725,0.003827488,0.0,-1.0967872e-06,-1.297771e-06,0.0010000035,-0.0025292377,0.0015271548,0.0
2.6176470849992738e-08,0.0061532627,-0.0040565827,-0.62970704,-0.36483765,-2.5,2.5,2.5,-0.37929723,-0.36665204,2.5,-15.183333,0.6056766,18.0,-18.0,0.002551947,0.001448053,-5.435991e-07,3.6808592e-07,0.00037979233,-0.033267792,-1.2354525e-07,8.365589e-08,-0.0014083333,-0.0015183333,-0.0025536558,-0.00144892,0.0016693985,-1.2959855e-05,0.00046903515,0.027530754,4.102175e-08,-2.7043884e-08,-0.09419106,-0.03395202,-0.007652159,-0.0020000073,1.2959855e-05,-0.00082057103,0.09419105,-0.03254368,-0.061647374,0.00011,-1.3510985e-06,-1.0826486e-06,0.0010000038,-0.005214141,0.0042230543,0.0,-1.1008289e-06,-1.2916635e-06,0.0010000034,-0.0024380174,0.0014359602,0.0
4.058823569998874e-08,0.00572588,-0.0037683758,-0.7019762,-0.29273283,-2.5,2.5,2.5,-0.30692837,-0.29452303,2.5,-15.183333,2.7622545,18.0,-18.0,0.0028401697,0.0011598301,-7.5859526e-07,5.101062e-07,0.00037074368,-0.032444227,-1.7240802e-07,1.1593322e-07,-0.0014083333,-0.0015183333,-0.002842177,-0.0011604998,0.0026336522,-1.2787117e-05,0.0014615157,0.12555702,3.8172534e-08,-2.5122505e-08,-0.19237718,-0.033952024,-0.008617044,-0.0020000073,1.2787117e-05,-0.000801393,0.19237718,-0.032543685,-0.1598335,0.00011,-1.329115e-06,-1.1144239e-06,0.0010000038,-0.0064673894,0.0054758294,0.0,-1.1155188e-06,-1.2705052e-06,0.0010000034,-0.0021496548,0.0011477127,0.0
5.500000054998474e-08,0.0051632724,-0.0033909015,-0.7694297,-0.22548819,-2.5,2.5,2.5,-0.23919253,-0.2272418,2.5,-15.183333,4.839623,18.0,-18.0,0.003108528,0.000891472,-9.557605e-07,6.400601e-07,0.0003529295,-0.030853573,-2.1721829e-07,1.454682e-07,-0.0014083333,-0.0015183333,-0.003110815,-0.00089195697,0.0035349142,-1.2525844e-05,0.0024184836,0.21998286,3.4421817e-08,-2.260601e-08,-0.28615153,-0.033952024,-0.009519174,-0.0020000073,1.2525844e-05,-0.00076350116,0.28615153,-0.03254369,-0.25360784,0.00011,-1.3040784e-06,-1.148444e-06,0.0010000039,-0.007637962,0.0066457293,0.0,-1.1322107e-06,-1.2478919e-06,0.0010000033,-0.0018812125,0.0008794311,0.0
7.558823604997903e-08,0.004151836,-0.002714845,-0.8542983,-0.14098498,-2.5,2.5,2.5,-0.15361744,-0.14266661,2.5,-15.183333,7.572938,18.0,-18.0,0.00344495,0.0005550499,-1.1970114e-06,7.988367e-07,0.00031314182,-0.027327891,-2.7204806e-07,1.815538e-07,-0.0014083333,-0.0015183333,-0.0034475909,-0.0005553017,0.0046712058,-1.2011596e-05,0.003679312,0.34422445,2.7678906e-08,-1.8098966e-08,-0.40808848,-0.033952028,-0.010657073,-0.0020000073,1.2011596e-05,-0.0006787517,0.40808848,-0.03254369,-0.3755448,0.00011,-1.2642143e-06,-1.1993075e-06,0.001000004,-0.009112303,0.008118796,0.0,-1.1587438e-06,-1.2141195e-06,0.0010000032,-0.0015447699,0.00054329017,0.0
